t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,43,43,43,43,43,43,75,23,82,7,7,12,12,12,12,184,7,7,12,12,12,12,12
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,70,72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,30,76,14,18,18,7,43,90,2,7,43,90,2,7,43,90,2,7,43,90,2,121,19,19,19,19,3,19,130,130,3,3,3,3,3,3,3,3,3,3,109,3,3,3,3,3,105,57,59,3,3,3,3,130
15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,29,40,29,18,29,40,29,18,15,15,15,15,15,15,27,27,25,18,14,80,82,80,82,105,105,105,105,105,105,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,3,33,173,3,105,135,19,19,2,135,19,105,105,130,130,109,3,3,3,3,3,3,3,3,19,3,3,19,19,3,105,57,59,3,3,3,3,130
10,3,6,10,10,3,6,10,10,3,10,3,6,10,10,3,6,10,10,3,6,10,10,3,6,10,10,3,6,3,6,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,65,21,9,19,19,6,3,6,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,65,21,9,8,110,19,130,130,3,3,3,3,19,19,19,3,105,57,59,3,3,3,3,130
22,22,22,22,22,22,5,14,18,40,14,14,18,60,60,40,18,12,12,12,2,2,105,105,105,105,105,105,105,105,3,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,2,33,2,173,19,19,2,135,105,130,130,3,3,3,3,3,3,14,18,14,18,3,19,3,3,19,19,25,25,25,25,25,3,3,3,3,3,109,3,25,3,3,105,3,105,57,59,3,3,3,3,3,130
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
62,35,22,179,22,197,113,107,3,77,7,7,15,15,7,7,15,7,15,15,40,18,15,15,40,18,50,14,18,3,57,57,3,3,57,57,3,6,190,10,38,12,3,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,2,3,33,2,173,19,19,2,135,105,130,130,3,3,3,19,3,3,19,19,162,109,3,22,179,3,24,3,105,3,109,3,18,105,57,59,3,3,3,3,130
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,19,19,40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,40,18,18,18,18,18,18,18,40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,43,43,65,28,3,8,8,162,3,2,9,14,14,130,130,3,3,3,130
76,3,154,3,27,27,25,32,25,27,27,25,32,25,76,3,154,3,27,27,25,32,25,27,27,25,32,25,140,140,3,140,140,3,140,140,140,140,3,18,105,3,117,57,59,3,57,59,3,57,59,3,27,27,40,18,28,5,7,5,5,5,5,7,5,5,3,105,27,32,25,143,76,3,3,3,19,19,19,19,19,19,19,14,18,7,18,25,25,25,25,18,135,105,3,3,3,3,31,130
18,18,14,18,53,53,53,53,53,23,23,23,82,69,2,75,143,33,3,40,112,50,44,25,57,59,3,57,59,3,57,59,3,27,187,57,57,59,3,76,49,191,76,143,3,3,8,113,107,3,76,7,7,193,170,3,2,33,71,15,15,15,15,15,15,15,15,15,15,71,3,3,2,3,3,19,130,130,3,3,3,3,3,3,3,3,14,18,14,18,3,105,57,59,3,3,3,3,3,130
4,4,4,4,4,4,4,4,4,4,4,4,6,12,8,62,8,3,12,117,12,7,12,105,105,105,105,105,105,14,80,82,80,82,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,2,3,3,33,2,173,3,105,135,19,19,2,135,105,105,130,130,3,109,3,3,3,3,3,19,3,3,19,19,162,109,3,22,179,3,24,3,105,3,109,3,18,105,57,59,3,3,3,3,130
125,8,113,107,3,3,65,40,18,75,14,18,18,18,18,18,18,18,70,72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,21,65,158,9,3,2,9,63,42,25,3,109,3,81,21,8,3,24,8,62,17,17,3,117,117,130,130,3,3,3,105,57,59,3,3,3,3,130
101,7,27,27,27,27,81,40,18,18,18,18,18,18,49,40,18,18,18,18,18,40,40,40,40,40,40,18,40,18,14,18,50,50,8,94,29,40,40,21,9,2,9,40,50,44,25,8,40,38,3,49,191,76,143,36,14,14,130,130,105,105,105,105,3,3,3,3,3,3,3,3,109,3,3,3,3,3,25,25,25,25,109,3,25,3,3,3,3,3,3,105,57,59,3,3,3,3,3,130
59,3,57,59,3,40,18,18,125,8,113,107,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,3,8,35,22,5,62,17,3,113,6,3,8,35,22,5,62,17,3,107,109,6,3,8,35,22,5,62,17,3,40,18,6,3,8,35,22,5,62,17,3,3,19,130,130,3,3,3,3,3,3,3,3,3,105,57,59,3,3,3,3,130
18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,18,12,14,12,18,12,18,12,12,12,50,50,50,57,59,3,57,59,3,3,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,7,7,53,53,14,18,14,18,14,18,14,18,12,12,12,12,12
39,145,145,45,41,39,145,145,45,41,39,145,145,45,41,39,145,145,45,41,39,145,145,45,41,39,145,145,45,41,26,2,50,42,25,76,26,26,2,50,42,25,26,2,50,42,25,2,39,145,145,45,41,39,145,145,45,41,39,145,145,45,41,39,145,145,45,41,39,145,145,45,41,39,145,145,45,41,39,145,145,45,41,39,145,145,45,41,26,26,2,50,42,25,26,26,2,50,42,25
33,3,57,3,57,59,59,3,33,79,127,68,117,33,33,79,127,68,117,33,79,127,68,117,33,33,3,57,3,57,59,59,3,33,79,127,68,117,33,79,127,68,117,33,33,79,127,68,117,33,3,57,3,57,59,59,3,33,33,79,127,68,117,33,79,127,68,117,33,33,79,127,68,117,33,3,57,3,57,59,59,3,33,79,127,68,117,33,33,79,127,68,117,33,33,79,127,68,117,33
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,18,2,12,12,41,39,86,86,33,33,33,33,33,33,33,33,33,55
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,40,18,40,18,18,40,18,18,18,18,18,18,18,18,18,18,40,18,40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,36,95,65,8,35,22,5,130,130,3,3,3,3,3,3,3,3,3,3,3,3,105,57,59,3,3,3,3,3,130
7,27,27,27,27,81,40,18,18,18,18,18,18,49,40,18,18,18,18,18,40,40,40,40,40,40,18,40,18,14,18,50,50,8,94,29,21,9,2,9,50,44,25,8,38,3,49,191,76,143,7,36,14,14,130,130,105,105,105,105,3,3,3,3,3,3,3,3,109,3,3,3,3,3,25,25,25,25,109,3,25,3,3,3,3,105,57,59,3,3,3,3,3,12,12,12,12,12,12,130
0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,120,9,50,42,25,8,24,24,24,24,8,62,22,8,62,22,22,22,5,5,22,17,22,17,22,3,22,17,22,17,3,8,62,8,62,22,22,22,5,5,49,22,22,17,22,17,22,3,22,17,3,14,80,80,7,19,7,40,18,94,15,107,14,18,7,7,7,15,15,3,3,15,7,15,15,40,18,75,26,76,3,76,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,3,70,72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,70,72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,7,7,7,7,62,62,62,185,53,53,80,82,80,82,80,82,80,82,7,19,7,40,18,94,15,107,14,18,7,7,7,15,15,80,82,53,53,3,3,57,59,3,57,59,3,3,53,15,7,15,15,40,18,53,7,53,71,53,71,53,184,82,65,8,9,8,9,50,50,42,25,120,39
14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,18,18,18,18,18,18,18,7,7,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,12,12,12,8,12,12,113,3,107,12,12,109,3,12,110,130,130,3,3,3,3,19,3,3,19,19,3,105,57,59,3,3,3,3,130
25,15,15,80,82,80,82,15,15,80,82,80,82,7,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,105,105,130,130,3,109,3,3,3,3,3,19,3,3,19,19,105,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,130
34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,79,6,6,6,6,6,6,6,6,6,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,79,6,6,6,6,6,6,6,6,6,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33,34,33
7,90,7,90,7,90,121,14,18,14,18,7,90,7,90,7,90,121,3,14,18,14,18,14,18,7,90,7,90,7,90,7,90,121,14,18,14,18,7,90,7,90,7,90,121,3,14,18,14,18,14,18,7,90,7,90,7,90,7,90,121,43,43,43,90,7,90,7,90,121,19,19,19,19,19,19,130,130,3,3,3,3,3,3,3,3,105,105,105,105,3,105,57,59,3,3,3,3,3,130
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,3,50,12,14,14,130,130,3,109,3,3,3,3,3,3,18,105,57,59,3,3,3,3,3,130
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,7,40,18,94,15,107,14,18,7,7,7,15,15,3,3,57,59,3,57,59,3,3,15,7,15,15,40,18,50,44,25,14,14,130,130,3,3,3,3,3,3,3,3,3,3,3,105,57,59,3,3,3,3,130
40,40,40,141,50,50,40,40,40,18,40,40,3,3,14,18,64,64,81,64,120,95,190,190,112,57,7,59,59,59,19,7,59,19,3,7,8,35,7,5,3,3,50,44,25,50,44,25,24,70,72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,8,17,3,50,44,25,24,8,17,3,117,7,7,90,90,121,214,16,16,16,16,90,24,21,130
18,101,18,18,15,15,80,82,80,82,3,57,27,25,15,15,80,82,80,82,15,15,80,82,80,82,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,12,7,12,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,105,105,130,130,3,3,3,3,19,3,3,19,19,3,105,57,59,3,3,3,3,130
42,42,42,42,25,128,42,25,49,128,59,49,128,59,42,25,40,18,120,40,18,18,18,18,144,18,18,39,171,7,19,7,40,18,94,15,107,14,18,7,7,7,15,15,3,3,15,7,15,15,40,18,18,8,146,86,75,3,18,91,86,144,29,29,7,7,7,23,23,171,23,23,80,80,173,173,18,41,14,14,130,130,3,3,3,3,3,14,105,3,3,105,57,59,3,3,3,3,3,130
46,59,59,3,3,3,3,3,3,3,3,46,59,59,46,59,59,3,3,3,8,3,6,3,6,3,8,62,7,5,3,6,6,6,46,59,59,46,59,59,3,3,3,46,59,59,46,59,59,3,3,3,46,59,59,46,59,59,3,3,3,6,6,132,176,128,46,46,59,59,3,3,144,63,44,44,63,25,42,25,151,97,58,58,58,3,3,3,3,3,3,3,3,2,76,3,3,3,3,2
2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9
16,14,18,14,16,14,18,14,16,14,18,14,16,14,18,14,16,14,18,14,16,8,35,7,5,3,19,19,19,90,14,18,14,16,8,35,7,5,3,19,19,19,90,14,18,14,16,14,18,14,16,14,18,14,16,14,18,14,16,14,18,14,16,14,18,14,16,14,18,14,16,14,18,14,16,14,18,14,16,14,18,14,16,14,18,14,16,8,35,7,7,5,3,19,19,19,90,5,53,12
5,3,8,81,23,69,82,8,17,3,28,77,146,3,24,8,77,162,3,3,81,23,69,82,8,17,3,28,77,146,3,24,8,77,162,3,3,9,70,72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,30,7,90,121,19,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,6,130,130,3,105,57,59,3,3,3,3,130
43,24,7,8,5,3,7,7,19,109,7,19,40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,49,7,19,7,14,18,18,18,18,14,7,7,185,117,40,7,90,90,43,90,143,14,14,130,130,130
53,53,53,53,53,53,126,23,23,23,82,69,75,143,33,3,40,112,50,44,25,57,59,3,57,59,3,57,59,3,27,187,57,57,59,3,76,49,191,76,143,3,3,8,113,107,3,76,7,7,193,170,3,135,135,105,135,68,71,15,15,15,15,15,15,15,15,15,15,71,3,3,3,19,130,130,3,3,3,3,3,3,3,3,3,3,14,18,14,18,3,105,57,59,3,3,3,3,3,130
27,25,15,15,80,82,80,82,15,15,80,82,80,82,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,105,105,130,130,3,109,3,3,3,3,3,19,3,3,19,19,105,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,130
33,33,33,33,33,33,33,33,33,33,33,33,15,15,66,66,66,15,15,15,15,15,15,15,15,15,15,15,15,33,33,11,66,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
18,18,40,18,18,18,40,18,18,40,18,18,18,40,18,19,40,18,18,18,18,18,18,18,18,18,18,40,18,27,32,32,49,49,27,32,25,27,32,25,27,32,25,40,18,25,104,36,36,20,3,57,59,3,57,59,3,40,18,18,125,8,113,107,3,3,65,38,38,38,9,130,130,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,105,57,59,3,3,105,3,3,3,130
42,42,151,25,18,95,3,46,59,59,3,3,46,59,59,3,3,3,3,3,3,3,3,46,59,59,46,59,59,3,3,3,8,3,6,3,6,3,8,62,7,5,3,6,6,6,46,59,59,46,59,59,3,3,3,46,59,59,46,59,59,3,3,3,46,59,59,46,59,59,3,3,3,6,6,132,176,128,46,46,59,59,3,3,144,63,44,44,63,25,42,25,151,188,18,58,28,77,3,8
43,43,24,7,8,5,3,7,7,19,109,7,19,40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,49,7,7,14,18,18,18,18,14,7,7,185,117,40,7,90,90,43,90,143,14,14,130,130,130
25,63,25,50,25,186,95,81,8,17,17,17,17,17,17,17,17,3,65,8,17,3,65,8,17,17,17,17,17,17,17,17,17,3,65,8,21,81,8,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,3,65,8,21,81,8,17,17,17,17,17,17,17,17,17,17,17,17,17,17,3,49,130,130,3,105,57,59,3,3,3,3,130
18,18,18,104,3,53,53,53,53,53,53,53,53,53,53,53,23,82,69,40,18,18,125,8,113,107,3,3,95,21,6,8,22,35,5,3,10,8,22,35,5,3,38,24,8,22,35,5,3,8,22,35,5,3,10,3,6,9,38,36,2,36,8,113,107,3,12,130,130,3,3,3,3,3,3,3,3,3,3,14,18,14,18,3,3,3,3,3,3,3,3,105,57,59,3,3,3,3,3,130
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
91,145,145,145,86,45,86,18,41,3,39,91,145,145,145,86,45,86,18,41,3,39,91,145,145,145,86,45,86,18,41,3,39,91,145,145,145,86,45,86,18,41,3,39,91,145,145,145,86,45,86,18,41,3,39,91,145,145,145,86,45,86,18,41,3,39,91,145,145,145,86,45,86,18,41,3,3,3,39,91,145,145,145,86,45,86,18,41,3,39,91,145,145,145,86,45,86,18,41,3
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
18,18,18,18,18,18,18,18,18,18,18,40,18,18,18,40,18,40,18,18,40,18,40,18,40,18,18,18,40,18,40,18,18,18,18,18,18,18,18,18,18,43,43,14,18,3,3,65,7,7,21,21,21,14,14,14,14,189,193,63,44,44,25,108,8,17,3,117,3,3,130,130,3,3,3,3,3,3,3,3,3,3,3,18,3,109,3,3,3,3,3,105,57,59,3,3,3,3,3,130
57,27,25,15,15,80,82,80,82,15,15,80,82,80,82,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,105,105,130,130,3,109,3,3,3,3,3,19,3,3,19,19,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,130
15,15,33,68,71,15,15,15,15,15,15,15,15,15,15,71,135,105,71,15,15,15,15,15,15,15,15,15,15,71,135,105,3,3,19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,130,130,109,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,18,14,18,3,105,57,59,3,3,3,3,130
7,90,7,90,7,90,121,14,18,14,18,7,90,7,90,7,90,121,3,14,18,14,18,14,18,7,90,7,90,7,90,7,90,121,14,18,14,18,7,90,7,90,7,90,121,3,14,18,14,18,14,18,7,90,7,90,7,90,7,90,121,43,43,43,90,7,90,7,90,121,19,19,19,19,19,19,130,130,3,3,3,3,3,3,3,3,105,105,105,105,3,105,57,59,3,3,3,3,3,130
4,4,4,4,4,4,4,3,104,3,2,26,39,45,41,2,26,39,45,41,2,26,39,45,41,2,63,42,25,63,42,25,63,42,25,63,42,25,63,42,25,63,42,25,63,42,25,63,42,25,2,26,39,45,41,2,26,39,45,41,2,26,39,45,41,2,63,42,25,63,42,25,63,42,25,63,42,25,63,42,25,63,42,25,63,42,25,63,42,25,2,26,39,45,41,2,26,39,45,41
14,14,11,3,3,57,59,3,57,59,3,43,14,14,14,14,168,11,168,168,14,14,11,14,14,168,14,14,3,3,14,14,168,14,14,11,3,168,14,7,65,21,7,8,22,5,3,43,43,43,43,43,43,43,43,14,43,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,43,19,14,14,40,18,18,18,18,18,18,18,18,18,18,14,18,120,7,39,26,41,76,3,76,3,3,3
18,18,18,18,18,18,122,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,95,67,40,18,18,18,18,18,18,18,18,18,18,18,105,8,22,5,22,22,22,22,22,5,22,7,5,7,7,5,5,7,5,7,5,19,19,22,3,3,3,3,19,19,130,130,3,3,3,3,3,3,3,3,3,3,3,3,105,57,59,3,3,3,3,130
39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,2,26,20,39,45,41,76,2,26,20,39,45,41
43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,16,43,90,12,130
27,34,27,27,32,32,27,27,25,32,25,117,3,3,3,25,25,25,25,135,105,3,3,3,3,31,19,130,130,3,3,3,3,3,3,3,3,3,109,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,3,109,3,109,3,3,3,105,18,3,3,3,18,7,19,19,19,19,25,7,3,3,3,3,3,109,3,109,3,25,25,7,3,3,3,3,105,57,59,3,3,3,3,3,130
58,2,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,3,3,3,2,88,2,76,188,58,2,2,88,188,58,2,3,3,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,2,88,188,58,2,105,2,88,188,58,2
103,103,25,103,27,103,27,103,103,103,103,103,103,103,25,103,27,103,27,103,27,103,27,103,27,103,27,103,27,103,27,103,27,103,25,3,57,27,25,32,32,32,15,25,15,101,101,101,132,107,109,3,101,7,101,3,57,27,25,103,25,27,32,25,7,7,14,80,80,7,71,15,15,15,15,15,15,15,15,15,15,71,71,15,15,15,15,15,15,15,15,15,15,19,71,71,71,71,71,71
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,86,2,3,2,8,86,2,3,2,8,86,2,3,2,8,86,2,3,2,8,86,2,3,2,14,14,65,6,9,10,9,9,9,9,9,10,9,63,42,6,24,2,34,9,63,42,2,34,9,63,42,2,34,9,63,42,2,34,9,63,42,2,9,63,42,34
10,10,10,10,10,10,10,10,10,10,10,10,3,29,21,29,19,19,93,3,3,93,151,25,93,3,3,93,32,25,93,3,3,93,32,25,8,64,8,77,162,3,17,113,107,109,3,3,28,77,3,3,3,29,21,29,117,3,3,2,19,3,2,130,130,3,3,3,3,3,3,3,3,3,25,3,3,3,3,3,109,3,25,3,3,3,3,14,18,14,18,105,57,59,3,3,105,3,3,130
30,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,7,7,7,7,7,19,19,19,19,7,7,7,7,7,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,19,7,7,19,40,18,18,18,18,18,110,185,14,14,130,130,3,3,3,3,3,105,57,59,3,3,3,3,130
43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,40,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,40,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,14,18,43,43,131,28,10,3,94,185,57,130
144,174,14,14,130,130,3,3,3,3,3,109,3,3,19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18,3,3,3,3,109,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,3,3,109,3,3,3,3,3,3,3,18,3,25,25,25,25,25,25,25,25,25,25,25,3,3,3,3,3,109,3,25,3,3,105,57,59,3,3,105,3,3,3,130
27,25,15,15,80,82,80,82,15,15,80,82,80,82,71,15,15,15,15,15,15,15,15,15,15,71,15,15,15,15,15,15,15,15,15,15,71,27,50,50,44,25,25,28,3,50,50,25,28,3,21,21,21,21,33,173,3,105,135,19,19,2,135,19,105,105,130,130,3,109,3,3,3,3,3,19,3,3,19,19,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,130
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,70,72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,30,76,14,18,18,7,43,90,2,7,43,90,2,7,43,90,2,7,43,90,2,121,19,19,19,19,3,19,130,130,3,3,3,3,3,3,3,3,3,3,109,3,25,3,3,3,105,57,59,3,3,3,3,130
132,63,44,44,25,102,144,49,144,174,8,3,40,88,55,188,8,3,2,8,3,40,88,55,188,8,3,132,63,44,44,25,102,144,49,144,174,8,3,40,88,55,188,8,3,132,63,44,44,25,102,144,49,144,174,8,3,40,88,188,8,3,55,40,105,2,8,3,40,88,188,8,3,132,63,44,44,25,102,144,49,55,144,174,8,3,40,88,76,188,8,3,132,63,44,44,25,102,144,49
